rand_ranks,Line,height(in),NumTasselBranches,TasselBranchAngle(deg),,,,
818,Mo315,58,5,10,,,,
819,Mo061,65,5,4,,,,
820,Mo077,77,3,6,,,,
821,Mo039,51,5,14,,,,
822,Mo043,56,6,7,,,,
823,Mo17,67,2,41,,,,
824,Mo012,61,3,19,,,,
825,Mo061,64,4,5,,,,
826,Mo001,67,6,39,,,,
827,Mo267,64,8,10,,,,
828,B73,71,7,15,,,,
829,Mo077,67,2,4,,,,
830,Mo079,65,7,1,,,,
831,Mo033,69,5,6,,,,
832,Mo062,70,5,11,,,,
833,Mo001,22,2,42,,,,
834,Mo266,66,8,14,,,,
835,Mo079,66,7,16,,,,
836,B73,66,4,13,,,,
837,Mo382,67,3,10,,,,
838,Mo344,49,5,12,,,,
839,Mo025,55,5,9,,,,
840,Mo354,57,5,17,,,,
841,Mo017,47,.,.,,,,
842,Mo034,.,.,.,,,,
843,Mo057,32,3,13,,,,
844,Mo016,58,.,.,,,,
845,Mo027,60,2,21,,,,
846,Mo001,49,5,9,,,,
847,Mo067,72,6,21,,,,
848,Mo079,61,8,38,,,,
849,Mo014,61,.,.,,,,
850,Mo014,70,3,44,,,,
851,Mo382,61,3,12,,,,
852,Mo057,59,4,40,,,,
853,Mo058,69,5,11,,,,
854,Mo354,69,4,8,,,,
855,Mo021,75,3,30,,,,
856,Mo046,56,1,20,,,,
857,Mo267,53,5,15,,,,
858,Mo341,70,2,5,,,,
859,Mo368,70,4,8,,,,
860,Mo315,.,.,.,,,,
861,Mo023,56,2,20,,,,
862,Mo060,74,9,16,,,,
863,Mo007,63,2,7,,,,
864,Mo079,61,7,15,,,,
865,Mo022,59,7,4,,,,
866,Mo058,60,5,8,,,,
867,Mo021,71,2,20,,,,
868,Mo008,63,5,10,,,,
869,Mo368,62,6,4,,,,
870,Mo066,.,.,.,,,,
871,Mo269,67,2,10,,,,
872,Mo368,68,5,8,,,,
873,Mo365,32,2,7,,,,
874,Mo368,74,4,8,,,,
875,Mo005,78,6,21,,,,
876,Mo267,64,7,21,,,,
877,Mo045,19,.,.,,,,
878,Mo265,68,6,15,,,,
879,Mo022,51,4,4,,,,
880,Mo265,33,.,.,,,,
881,Mo378,54,3,30,,,,
882,Mo287,28,.,.,,,,
883,Mo264,49,2,22,,,,
884,Mo074,29,.,.,,,,
885,Mo352,16,.,.,,,,
886,Mo354,60,5,12,,,,
887,Mo267,63,7,8,,,,
888,Mo033,65,4,6,,,,
889,Mo054,65,4,12,,,,
890,Mo079,24,.,.,,,,
891,B73,63,6,7,,,,
892,Mo272,69,4,10,,,,
893,Mo383,77,4,20,,,,
894,Mo378,78,4,15,,,,
895,Mo364,69,5,7,,,,
896,Mo269,66,3,55,,,,
897,Mo043,45,6,12,,,,
898,Mo264,55,3,20,,,,
899,Mo346,75,6,15,,,,
900,Mo010,76,3,10,,,,
901,Mo067,61,6,15,,,,
902,Mo077,70,3,10,,,,
903,Mo357,44,3,5,,,,
904,Mo060,45,7,12,,,,
905,Mo344,36,4,5,,,,
906,Mo045,70,3,25,,,,
907,Mo010,.,.,.,,,,
908,Mo365,79,7,12,,,,
909,Mo015,56,4,5,,,,
910,Mo269,68,4,10,,,,
911,Mo057,51,3,10,,,,
912,Mo364,57,7,5,,,,
913,Mo033,69,5,10,,,,
914,Mo060,69,7,15,,,,
915,Mo016,62,4,10,,,,
916,Mo077,74,3,20,,,,
917,Mo060,64,5,15,,,,
918,Mo062,61,4,3,,,,
919,Mo060,67,5,12,,,,
920,Mo287,58,5,35,,,,
921,Mo272,60,5,5,,,,
922,Mo039,74,4,5,,,,
923,Mo378,71,4,20,,,,
924,Mo001,29,.,.,,,,
925,Mo022,68,5,20,,,,
926,Mo326,64,5,30,,,,
927,Mo272,70,7,10,,,,
928,Mo076,.,.,.,,,,
929,Mo067,66,7,20,,,,
930,Mo057,45,3,10,,,,
931,Mo017,64,2,5,,,,
932,Mo057,47,2,10,,,,
933,Mo034,71,6,20,,,,
934,Mo341,64,2,4,,,,
935,Mo016,57,4,7,,,,
936,Mo379,54,4,6,,,,
937,Mo272,64,4,7,,,,
938,Mo017,75,3,12,,,,
939,Mo017,75,3,10,,,,
940,Mo17,68,5,25,,,,
941,Mo058,45,2,10,,,,
942,Mo354,60,4,10,,,,
943,Mo365,41,7,10,,,,
944,Mo325,70,.,.,,,,
945,Mo045,64,3,20,,,,
946,Mo022,65,5,10,,,,
947,Mo074,72,3,20,,,,
948,Mo266,61,14,20,,,,
949,Mo054,73,.,.,,,,
950,Mo027,51,.,.,,,,
951,Mo264,56,.,.,,,,
952,Mo368,65,.,.,,,,
953,Mo266,73,.,.,,,,
954,,68,.,.,,,,
955,Mo021,72,.,.,,,,
956,Mo022,.,.,.,,,,
957,Mo382,61,.,.,,,,
958,Mo365,68,.,.,,,,
959,Mo043,39,.,.,,,,
960,Mo055,65,.,.,,,,
