rand_ranks,Line,height(in),NumTasselBranches,TasselBranchAngle(deg),,,,
198,Mo067,68,.,.,,,,
199,Mo345,58,3,12,,,,
200,Mo008,57,6,13,,,,
201,Mo344,55,8,7,,,,
202,Mo025,32,4,7,,,,
203,Mo010,69,3,13,,,,
204,Mo364,46,2,8,,,,
205,Mo17,64,6,34,,,,
206,Mo039,49,2,16,,,,
207,Mo066,35,4,20,,,,
208,Mo379,35,2,15,,,,
209,Mo266,44,4,5,,,,
210,Mo272,72,5,16,,,,
211,Mo062,71,4,16,,,,
212,Mo057,39,2,20,,,,
213,Mo034,29,3,16,,,,
214,Mo017,69,4,14,,,,
215,Mo369,54,5,15,,,,
216,Mo309,64,3,9,,,,
217,Mo269,66,3,11,,,,
218,Mo033,.,.,.,,,,
219,Mo074,74,6,11,,,,
220,Mo326,48,.,.,,,,
221,Mo357,21,.,.,,,,
222,Mo007,67,2,8,,,,
223,Mo023,45,2,23,,,,
224,Mo025,54,5,7,,,,
225,Mo015,46,5,15,,,,
226,Mo060,64,6,11,,,,
227,Mo079,65,8,16,,,,
228,Mo033,67,5,9,,,,
229,Mo326,67,4,8,,,,
230,Mo287,68,4,31,,,,
231,Mo045,31,.,.,,,,
232,Mo266,54,3,32,,,,
233,Mo066,26,5,19,,,,
234,Mo007,62,3,8,,,,
235,Mo007,67,2,5,,,,
236,Mo055,71,3,16,,,,
237,Mo382,56,3,10,,,,
238,Mo034,61,7,7,,,,
239,Mo337,85,5,17,,,,
240,Mo369,45,.,.,,,,
241,Mo315,71,4,10,,,,
242,Mo076,77,4,21,,,,
243,Mo066,29,1,2,,,,
244,Mo001,23,.,.,,,,
245,B73,37,5,14,,,,
246,Mo014,65,3,25,,,,
247,Mo007,59,2,5,,,,
248,Mo076,72,6,18,,,,
249,Mo272,70,6,8,,,,
250,Mo074,52,.,.,,,,
251,Mo054,80,3,20,,,,
252,Mo287,78,6,38,,,,
253,Mo062,66,5,3,,,,
254,Mo058,67,4,4,,,,
255,Mo17,69,3,17,,,,
256,Mo021,77,3,23,,,,
257,Mo007,64,2,5,,,,
258,Mo315,58,4,6,,,,
259,Mo354,58,3,5,,,,
260,Mo346,.,.,.,,,,
261,Mo008,65,5,8,,,,
262,Mo061,69,4,6,,,,
263,Mo326,66,5,17,,,,
264,Mo066,51,6,15,,,,
265,Mo015,56,5,22,,,,
266,Mo379,53,3,4,,,,
267,Mo012,56,5,10,,,,
268,Mo060,71,7,9,,,,
269,Mo264,57,2,7,,,,
270,Mo379,53,2,10,,,,
271,Mo368,74,7,23,,,,
272,Mo317,68,4,13,,,,
273,Mo309,73,2,8,,,,
274,Mo354,55,4,11,,,,
275,Mo014,18,.,.,,,,
276,Mo383,59,5,25,,,,
277,Mo382,58,2,13,,,,
278,Mo023,56,.,.,,,,
279,Mo17,64,3,25,,,,
280,Mo054,74,4,10,,,,
281,Mo317,21,.,.,,,,
282,Mo315,56,4,11,,,,
283,Mo045,69,5,29,,,,
284,Mo369,69,3,11,,,,
285,Mo025,59,3,5,,,,
286,Mo021,67,2,10,,,,
287,Mo369,70,5,8,,,,
288,Mo066,55,6,9,,,,
289,Mo337,71,5,12,,,,
290,Mo264,57,5,22,,,,
291,Mo066,48,6,30,,,,
292,Mo005,33,.,.,,,,
293,Mo378,70,6,20,,,,
294,Mo378,68,6,29,,,,
295,Mo344,54,6,4,,,,
296,Mo317,70,6,10,,,,
297,Mo023,43,2,34,,,,
298,Mo357,.,4,18,,,,
299,Mo014,60,2,20,,,,
300,Mo046,58,4,20,,,,
301,Mo023,28,2,4,,,,
302,Mo341,59,2,5,,,,
303,Mo034,57,5,10,,,,
304,Mo045,56,4,14,,,,
305,Mo077,72,4,7,,,,
306,Mo315,.,.,.,,,,
307,Mo008,62,4,18,,,,
308,Mo345,67,4,17,,,,
309,Mo046,56,4,19,,,,
310,Mo046,58,4,53,,,,
311,Mo058,61,4,3,,,,
312,Mo365,78,5,15,,,,
313,Mo344,39,6,10,,,,
314,Mo364,65,6,4,,,,
315,Mo341,67,2,7,,,,
316,Mo344,27,5,12,,,,
317,Mo265,73,5,6,,,,
318,Mo015,63,5,6,,,,
319,Mo061,68,2,9,,,,
320,Mo287,69,5,11,,,,
321,Mo325,68,4,15,,,,
322,Mo266,34,8,23,,,,
323,Mo005,58,6,10,,,,
324,Mo379,39,.,.,,,,
325,Mo021,.,.,.,,,,
326,Mo365,68,6,15,,,,
327,Mo079,44,5,18,,,,
328,Mo033,57,4,23,,,,
329,Mo005,.,.,.,,,,
330,Mo046,64,3,35,,,,
331,Mo369,53,6,24,,,,
332,Mo287,.,5,21,,,,
333,Mo345,58,3,12,,,,
334,Mo364,62,4,5,,,,
335,Mo027,.,.,.,,,,
336,Mo067,61,3,16,,,,
337,Mo287,59,.,.,,,,
338,Mo269,65,3,10,,,,
339,Mo008,65,5,6,,,,
340,Mo317,58,4,20,,,,
341,Mo045,57,4,32,,,,
342,Mo039,46,5,22,,,,
343,Mo034,64,5,6,,,,
344,Mo309,69,3,8,,,,
345,Mo045,28,.,.,,,,
346,Mo033,61,4,6,,,,
347,Mo315,41,.,.,,,,
348,Mo010,73,4,14,,,,
349,Mo378,71,5,20,,,,
350,Mo039,57,3,13,,,,
351,Mo379,50,3,35,,,,
352,Mo014,55,1,6,,,,
353,Mo067,30,0,0,,,,
354,Mo357,41,4,10,,,,
355,Mo025,45,4,20,,,,
356,Mo012,59,3,28,,,,
357,Mo060,64,5,5,,,,
358,Mo344,45,6,22,,,,
359,Mo074,59,.,.,,,,
360,Mo382,40,2,6,,,,
361,Mo010,72,3,12,,,,
362,Mo033,68,4,16,,,,
363,Mo326,63,3,18,,,,
364,Mo341,13,.,.,,,,
365,Mo058,70,5,11,,,,
366,Mo054,69,3,26,,,,
367,Mo309,.,.,.,,,,
368,Mo383,56,3,26,,,,
369,Mo008,68,5,12,,,,
370,Mo034,64,5,8,,,,
371,Mo17,66,3,41,,,,
372,Mo067,65,5,19,,,,
373,Mo309,.,.,.,,,,
374,B73,64,5,12,,,,
375,Mo016,55,.,.,,,,
376,Mo022,51,5,3,,,,
377,Mo352,56,4,12,,,,
378,Mo005,76,8,4,,,,
379,Mo269,61,4,10,,,,
380,Mo382,60,2,6,,,,
381,Mo354,65,5,14,,,,
382,Mo062,68,4,11,,,,
383,Mo382,58,2,10,,,,
384,Mo364,72,6,5,,,,
385,Mo315,.,.,.,,,,
386,Mo309,70,3,3,,,,
387,Mo346,59,4,5,,,,
388,Mo364,62,5,8,,,,
389,Mo17,70,4,20,,,,
390,Mo021,60,4,20,,,,
391,Mo264,43,3,8,,,,
392,Mo061,72,3,8,,,,
393,Mo272,72,4,7,,,,
394,Mo079,63,6,10,,,,
395,Mo023,62,4,14,,,,
396,Mo317,65,4,3,,,,
397,Mo354,57,4,11,,,,
398,Mo061,52,2,4,,,,
399,Mo061,68,5,6,,,,
400,Mo383,.,.,.,,,,
401,Mo344,35,6,6,,,,
402,Mo034,65,.,.,,,,
403,Mo015,63,3,7,,,,
404,Mo015,62,8,10,,,,
405,Mo062,67,4,8,,,,
406,Mo025,63,3,7,,,,
407,Mo054,74,4,10,,,,
408,Mo352,55,5,10,,,,
409,Mo309,65,2,5,,,,
410,Mo043,29,.,.,,,,
411,Mo058,60,.,.,,,,
412,Mo345,62,6,17,,,,
413,Mo382,.,.,.,,,,
414,Mo344,57,8,10,,,,
415,Mo357,.,.,.,,,,
416,Mo007,35,.,.,,,,
417,Mo017,44,.,.,,,,
418,Mo010,74,3,4,,,,
419,Mo345,38,.,.,,,,
420,Mo017,67,2,15,,,,
421,Mo074,60,4,8,,,,
422,Mo055,55,3,10,,,,
423,Mo346,.,.,.,,,,
