Year2006,Family Number,Line,PlantHeight(in),tasselbranchNum,tasselbranchAngle_degrees
P,74,Mo326,29,.,.
P,75,Mo328,71,3,2
P,75,Mo328,72,4,5
P,75,Mo328,57,3,10
P,75,Mo328,65,4,10
P,75,Mo328,58,5,15
P,75,Mo328,61,2,5
P,75,Mo328,65,4,5
P,75,Mo328,74,5,10
P,75,Mo328,69,5,10
P,75,Mo328,83,.,.
P,75,Mo328,77,.,.
P,75,Mo328,77,.,.
P,75,Mo328,84,.,.
P,75,Mo328,75,.,.
P,75,Mo328,70,.,.
P,76,Mo337,73,4,10
P,76,Mo337,68,5,15
P,76,Mo337,79,6,15
P,76,Mo337,59,4,20
P,76,Mo337,77,4,15
P,76,Mo337,83,4,20
P,76,Mo337,87,3,20
P,76,Mo337,85,2,17
P,76,Mo337,83,4,12
P,76,Mo337,49,5,10
P,76,Mo337,82,.,.
P,76,Mo337,84,.,.
P,76,Mo337,72,.,.
P,77,Mo341,73,2,5
P,77,Mo341,49,3,15
P,77,Mo341,64,3,10
P,77,Mo341,66,2,5
P,77,Mo341,71,3,7
P,77,Mo341,69,3,10
P,77,Mo341,61,2,5
P,77,Mo341,69,3,12
P,77,Mo341,69,2,5
P,77,Mo341,70,3,10
P,77,Mo341,64,3,10
P,77,Mo341,74,.,.
P,77,Mo341,39,.,.
P,77,Mo341,62,.,.
P,77,Mo341,69,.,.
P,78,Mo344,35,7,10
P,78,Mo344,42,7,10
P,78,Mo344,52,7,10
P,78,Mo344,51,6,10
P,78,Mo344,48,8,10
P,78,Mo344,52,9,10
P,78,Mo344,51,6,12
P,78,Mo344,49,8,5
P,78,Mo344,42,6,10
P,78,Mo344,47,5,5
P,78,Mo344,36,.,.
P,78,Mo344,45,.,.
P,79,Mo345,67,3,30
P,79,Mo345,55,5,20
P,79,Mo345,62,4,22
P,79,Mo345,66,3,25
P,79,Mo345,70,5,30
P,79,Mo345,52,3,20
P,79,Mo345,66,4,20
P,79,Mo345,72,5,25
P,79,Mo345,62,6,30
P,79,Mo345,53,4,25
P,79,Mo345,66,3,30
P,79,Mo345,65,.,.
P,79,Mo345,65,.,.
P,79,Mo345,66,.,.
P,79,Mo345,72,.,.
P,79,Mo345,67,.,.
P,79,Mo345,63,.,.
P,80,Mo346,68,2,12
P,80,Mo346,72,3,15
P,80,Mo346,76,4,10
P,80,Mo346,61,2,5
P,80,Mo346,82,3,10
P,80,Mo346,84,6,10
P,80,Mo346,65,7,15
P,80,Mo346,35,5,7
P,80,Mo346,64,4,5
P,80,Mo346,54,6,10
P,80,Mo346,31,5,7
P,80,Mo346,65,.,.
P,80,Mo346,73,.,.
P,81,Mo352,54,4,5
P,81,Mo352,55,4,5
P,81,Mo352,44,4,10
P,81,Mo352,57,3,7
P,81,Mo352,61,2,5
P,81,Mo352,61,4,15
P,81,Mo352,57,3,7
P,81,Mo352,54,4,12
P,81,Mo352,55,5,17
P,81,Mo352,57,3,10
P,81,Mo352,52,.,.
P,81,Mo352,47,.,.
P,81,Mo352,53,.,.
P,81,Mo352,55,.,.
P,81,Mo352,51,.,.
P,81,Mo352,52,.,.
P,82,Mo354,60,4,10
P,82,Mo354,44,5,20
P,82,Mo354,43,5,20
P,82,Mo354,62,3,10
P,82,Mo354,51,4,20
P,82,Mo354,63,4,5
P,82,Mo354,60,4,5
P,82,Mo354,59,4,5
P,82,Mo354,67,5,20
P,82,Mo354,65,.,.
P,82,Mo354,62,.,.
P,82,Mo354,66,.,.
P,82,Mo354,35,.,.
P,83,Mo355,59,3,25
P,83,Mo355,71,4,20
P,83,Mo355,69,4,23
P,83,Mo355,68,2,25
P,83,Mo355,72,3,15
P,83,Mo355,72,2,10
P,83,Mo355,43,4,15
P,83,Mo355,66,4,12
P,83,Mo355,68,4,20
P,83,Mo355,69,4,10
P,83,Mo355,66,.,.
P,83,Mo355,66,.,.
P,83,Mo355,60,.,.
P,83,Mo355,51,.,.
P,84,Mo357,23,3,45
P,84,Mo357,43,3,35
P,84,Mo357,45,4,25
P,84,Mo357,40,4,30
P,84,Mo357,45,3,30
P,84,Mo357,24,3,25
P,84,Mo357,45,5,30
P,84,Mo357,44,2,10
P,84,Mo357,35,5,30
P,84,Mo357,42,.,.
P,84,Mo357,36,.,.
P,85,Mo360,69,5,10
P,85,Mo360,69,4,25
P,85,Mo360,67,5,20
P,85,Mo360,70,5,20
P,85,Mo360,68,4,20
P,85,Mo360,67,5,30
P,85,Mo360,67,5,20
P,85,Mo360,66,6,20
P,85,Mo360,71,1,.
P,85,Mo360,66,4,20
P,85,Mo360,66,6,20
P,85,Mo360,68,5,25
P,85,Mo360,61,5,10
P,85,Mo360,64,.,.
P,85,Mo360,54,.,.
P,85,Mo360,66,.,.
P,86,Mo364,72,.,.
P,86,Mo364,76,.,.
P,86,Mo364,69,.,.
P,86,Mo364,68,.,.
P,86,Mo364,71,.,.
P,86,Mo364,61,.,.
P,86,Mo364,66,.,.
P,86,Mo364,66,.,.
P,86,Mo364,33,.,.
P,86,Mo364,59,.,.
P,86,Mo364,59,.,.
P,86,Mo364,68,.,.
P,86,Mo364,44,.,.
P,87,Mo365,84,8,15
P,87,Mo365,76,7,10
P,87,Mo365,87,8,20
P,87,Mo365,63,7,15
P,87,Mo365,77,6,20
P,87,Mo365,81,8,20
P,87,Mo365,49,6,15
P,87,Mo365,80,9,20
P,87,Mo365,78,4,20
P,87,Mo365,77,4,10
P,87,Mo365,77,6,20
P,87,Mo365,73,.,.
P,88,Mo368,53,7,5
P,88,Mo368,73,7,5
P,88,Mo368,75,8,5
P,88,Mo368,67,5,3
P,88,Mo368,49,6,5
P,88,Mo368,72,6,5
P,88,Mo368,69,5,3
P,88,Mo368,76,5,3
P,88,Mo368,63,3,5
P,88,Mo368,74,.,.
P,88,Mo368,69,.,.
P,88,Mo368,71,.,.
P,88,Mo368,53,.,.
P,89,Mo369,47,5,10
P,89,Mo369,71,5,5
P,89,Mo369,65,4,5
P,89,Mo369,63,5,5
P,89,Mo369,70,5,3
P,89,Mo369,65,6,5
P,89,Mo369,50,5,5
P,89,Mo369,67,.,.
P,89,Mo369,68,.,.
P,89,Mo369,67,.,.
P,89,Mo369,64,.,.
P,90,Mo378,67,5,20
P,90,Mo378,65,3,20
P,90,Mo378,69,5,25
P,90,Mo378,70,4,40
P,90,Mo378,60,6,30
P,90,Mo378,20,5,15
P,90,Mo378,59,6,15
P,90,Mo378,62,3,45
P,90,Mo378,64,4,20
P,90,Mo378,75,5,35
P,90,Mo378,71,.,.
P,90,Mo378,47,.,.
P,91,Mo379,55,3,10
P,91,Mo379,36,4,12
P,91,Mo379,52,4,20
P,91,Mo379,54,2,16
P,91,Mo379,46,3,15
P,91,Mo379,53,4,10
P,91,Mo379,34,2,12
P,91,Mo379,50,3,10
P,91,Mo379,49,2,15
P,91,Mo379,44,3,7
P,91,Mo379,46,.,.
P,91,Mo379,49,.,.
P,91,Mo379,52,.,.
P,91,Mo379,41,.,.
P,92,Mo382,53,4,17
P,92,Mo382,52,3,12
P,92,Mo382,49,2,5
P,92,Mo382,54,2,10
P,92,Mo382,57,5,15
P,92,Mo382,33,3,7
P,92,Mo382,53,5,5
P,92,Mo382,61,4,5
P,92,Mo382,54,3,15
P,92,Mo382,49,3,10
P,92,Mo382,54,.,.
P,92,Mo382,57,.,.
P,93,Mo383,52,3,10
P,93,Mo383,59,3,20
P,93,Mo383,57,3,5
P,93,Mo383,56,4,20
P,93,Mo383,60,3,5
P,93,Mo383,51,2,5
P,93,Mo383,54,2,7
P,93,Mo383,56,3,20
P,93,Mo383,47,3,15
P,93,Mo383,55,2,5
P,93,Mo383,53,.,.
P,94,Mo384,65,5,10
P,94,Mo384,63,6,10
P,94,Mo384,66,9,20
P,94,Mo384,72,8,10
P,94,Mo384,67,6,7
P,94,Mo384,67,6,10
P,94,Mo384,71,2,5
P,94,Mo384,67,6,10
P,94,Mo384,38,2,10
P,94,Mo384,64,8,10
P,94,Mo384,69,.,.
P,94,Mo384,67,.,.
P,95,B73,66,5,10
P,95,B73,75,4,10
P,95,B73,71,6,10
P,95,B73,65,6,10
P,95,B73,73,5,7
P,95,B73,74,6,5
P,95,B73,73,5,5
P,95,B73,64,4,5
P,95,B73,73,6,10
P,95,B73,62,6,7
P,95,B73,56,4,5
P,95,B73,63,6,10
P,96,Mo017,65,3,15
P,96,Mo017,69,5,10
P,96,Mo017,74,4,15
P,96,Mo017,72,3,17
P,96,Mo017,64,5,12
P,96,Mo017,61,3,12
P,96,Mo017,70,5,10
P,96,Mo017,62,7,15
P,96,Mo017,59,4,10
P,96,Mo017,68,2,15
P,97,Mo003,,,
P,98,Mo009,,,
P,99,Mo011,,,
P,100,Mo013,,,
P,101,Mo018,,,
P,102,Mo019,,,
P,103,Mo026,,,
P,104,Mo036,,,
P,105,Mo038,,,
P,106,Mo041,,,
P,107,Mo042,,,
P,108,Mo047,,,
P,109,Mo056,,,
P,110,Mo059,,,
P,111,Mo068,,,
P,112,Mo080,,,
P,113,Mo081,,,
P,114,Mo082,,,
P,115,Mo083,,,
P,116,Mo085,,,
P,117,Mo086,,,
P,118,Mo087,,,
P,119,Mo088,,,
P,120,Mo090,,,
P,121,Mo091,,,
P,122,Mo092,,,
P,123,Mo093,,,
P,124,Mo096,,,
P,125,Mo097,,,
P,126,Mo098,,,
P,127,Mo099,,,
P,128,Mo101,,,
P,129,Mo102,,,
P,130,Mo101,,,
P,131,Mo106,,,
P,132,Mo109,,,
P,133,Mo111,,,
P,134,Mo113,,,
P,135,Mo114,,,
P,136,Mo116,,,
P,137,Mo118,,,
P,138,Mo120,,,
P,139,Mo123,,,
P,140,Mo124,,,
P,141,Mo125,,,
P,142,Mo126,,,
P,143,Mo127,,,
P,144,Mo128,,,
P,145,Mo129,,,
P,146,Mo130,,,
P,147,Mo131,,,
P,148,Mo132,,,
P,149,Mo133,,,
P,150,Mo134,,,
P,151,Mo138,,,
P,152,Mo141,,,
P,153,Mo142,,,
P,154,Mo143,,,
P,155,Mo145,,,
P,156,Mo146,,,
P,157,Mo147,,,
P,158,Mo150,,,
P,159,Mo151,,,
P,160,Mo153,,,
P,161,Mo154,,,
P,162,Mo156,,,
P,163,Mo157,,,
P,164,Mo159,,,
P,165,Mo160,,,
P,166,Mo161,,,
P,167,Mo162,,,
P,168,Mo163,,,
P,169,Mo164,,,
P,170,Mo165,,,
P,171,Mo167,,,
P,172,Mo168,,,
P,173,Mo169,,,
P,174,Mo0171,,,
P,175,Mo0172,,,
P,176,Mo0174,,,
P,177,Mo0176,,,
P,178,Mo0177,,,
P,179,Mo0178,,,
P,180,Mo180,,,
P,181,Mo181,,,
P,182,Mo182,,,
P,183,Mo183,,,
P,184,Mo184,,,
P,185,Mo185,,,
P,186,Mo186,,,
P,187,Mo187,,,
P,188,,,,
P,189,Mo190,,,
P,190,Mo191,,,
P,191,Mo192,,,
P,192,Mo194,,,
P,193,Mo196,,,
P,194,Mo197,,,
P,195,Mo198,,,
P,196,Mo199,,,
P,197,Mo200,,,
P,198,Mo201,,,
P,199,Mo202,,,
P,200,Mo205,,,
P,201,Mo206,,,
P,202,Mo209,,,
P,203,Mo210,,,
P,204,Mo213,,,
P,205,Mo214,,,
P,206,Mo215,,,
P,207,Mo216,,,
P,208,Mo218,,,
P,209,Mo219,,,
P,210,Mo220,,,
P,211,Mo222,,,
P,212,Mo223,,,
P,213,Mo224,,,
P,214,Mo225,,,
P,215,Mo228,,,
P,216,Mo229,,,
P,217,Mo230,,,
P,218,Mo232,,,
P,219,Mo233,,,
P,220,Mo236,,,
P,221,Mo237,,,
P,222,Mo238,,,
P,223,Mo236,,,
P,224,Mo246,,,
P,225,Mo248,,,
P,226,Mo250,,,
P,227,Mo253,,,
P,228,Mo255,,,
P,229,Mo256,,,
P,230,Mo258,,,
P,231,Mo261,,,
P,232,Mo263,,,
P,233,Mo268,,,
P,234,Mo270,,,
P,235,Mo271,,,
P,236,Mo274,,,
P,237,Mo277,,,
P,238,Mo278,,,
P,239,Mo279,,,
P,240,Mo280,,,
P,241,Mo282,,,
P,242,Mo283,,,
P,243,Mo286,,,
P,244,Mo289,,,
P,245,Mo292,,,
P,246,Mo295,,,
P,247,Mo300,,,
P,248,Mo301,,,
P,249,Mo302,,,
P,250,Mo304,,,
P,251,Mo305,,,
P,252,Mo307,,,
P,253,Mo313,,,
P,254,Mo314,,,
P,255,Mo318,,,
P,256,Mo327,,,
P,257,Mo329,,,
P,258,Mo331,,,
P,259,Mo332,,,
P,260,Mo334,,,
P,261,Mo335,,,
P,262,Mo336,,,
P,263,Mo338,,,
P,264,Mo340,,,
P,265,Mo342,,,
P,266,Mo347,,,
P,267,Mo351,,,
P,268,Mo356,,,
P,269,Mo358,,,
P,270,Mo361,,,
P,271,Mo362,,,
P,272,Mo367,,,
P,273,Mo372,,,
P,274,Mo373,,,
P,275,Mo374,,,
P,276,Mo376,,,
P,277,Mo380,,,
P,278,Mo381,,,
P,279,B73,,,
P,280,B73,,,
P,281,Mo017,,,
P,282,Mo017,,,
P,283,LH132,,,
P,284,LH51,,,
P,285,B97,,,
P,286,B73,,,
P,287,CML103,,,
P,288,CML247,,,
P,289,CML322,,,
P,290,CML333,,,
P,291,CML52,,,
P,292,CML69,,,
P,293,Hp301,,,
P,294,Mo017,,,
P,295,NC350,,,
P,296,NC358,,,
P,297,Oh43,,,
P,298,Oh713,,,
P,299,Tx303,,,
P,300,T2i8,,,
P,301,B97 delay,,,
P,302,CML333 delay,,,
P,303,CML103 delay,,,
P,304,NC358 delay,,,
P,305,Cacahuacintle,,,
P,306,Arrocillo Amarillo,,,
P,307,Mishca Ecuador,,,
P,308,Conico,,,
P,309,Confite Puneno,,,
P,310,W23 b pl,,,
P,311,Chinese inbred,,,
P,312,glossy1 in Chinese background,,,
P,313,B73,,,
P,314,B73,,,
P,315,Mo017,,,
P,316,Mo017,,,
