Year2006,Family Number,Line,PlantHeight(in),tasselbranchNum,tasselbranchAngle_degrees
P,20,Mo031,69,5,10
P,20,Mo031,76,4,10
P,20,Mo031,75,4,10
P,20,Mo031,77,3,5
P,20,Mo031,77,5,12
P,20,Mo031,62,4,10
P,20,Mo031,71,5,5
P,20,Mo031,55,4,5
P,20,Mo031,62,.,.
P,20,Mo031,77,.,.
P,20,Mo031,79,.,.
P,20,Mo031,64,.,.
P,21,Mo032,44,3,5
P,21,Mo032,62,2,5
P,21,Mo032,57,3,5
P,21,Mo032,55,3,10
P,21,Mo032,58,2,5
P,21,Mo032,56,3,5
P,21,Mo032,60,2,5
P,21,Mo032,63,3,3
P,21,Mo032,54,1,10
P,21,Mo032,44,4,5
P,21,Mo032,61,.,.
P,22,Mo033,46,5,20
P,22,Mo033,60,3,15
P,22,Mo033,66,4,5
P,22,Mo033,66,4,5
P,22,Mo033,62,3,5
P,22,Mo033,59,4,10
P,22,Mo033,66,3,10
P,22,Mo033,69,4,5
P,22,Mo033,63,4,15
P,22,Mo033,53,6,20
P,22,Mo033,61,4,15
P,23,Mo034,53,5,20
P,23,Mo034,61,5,10
P,23,Mo034,60,5,20
P,23,Mo034,25,6,20
P,23,Mo034,58,5,20
P,23,Mo034,61,5,10
P,23,Mo034,28,5,20
P,23,Mo034,56,1,10
P,23,Mo034,55,5,20
P,23,Mo034,60,4,10
P,23,Mo034,64,.,.
P,23,Mo034,62,.,.
P,24,Mo035,40,7,30
P,24,Mo035,36,3,40
P,24,Mo035,41,3,20
P,24,Mo035,28,4,25
P,24,Mo035,35,4,25
P,24,Mo035,50,2,15
P,24,Mo035,55,2,10
P,24,Mo035,42,3,12
P,24,Mo035,52,4,30
P,24,Mo035,49,3,30
P,24,Mo035,61,5,25
P,24,Mo035,54,5,30
P,24,Mo035,54,.,.
P,24,Mo035,49,.,.
P,25,Mo039,54,3,10
P,25,Mo039,63,2,5
P,25,Mo039,65,3,3
P,25,Mo039,58,3,3
P,25,Mo039,56,3,10
P,25,Mo039,24,3,3
P,25,Mo039,57,2,3
P,25,Mo039,29,4,5
P,25,Mo039,55,3,3
P,25,Mo039,65,4,3
P,25,Mo039,36,4,5
P,25,Mo039,41,3,3
P,25,Mo039,67,4,3
P,25,Mo039,64,.,.
P,26,Mo040,60,6,15
P,26,Mo040,67,5,10
P,26,Mo040,73,5,10
P,26,Mo040,61,4,15
P,26,Mo040,47,5,15
P,26,Mo040,58,4,10
P,26,Mo040,48,7,15
P,26,Mo040,57,3,12
P,26,Mo040,50,5,20
P,26,Mo040,59,5,10
P,26,Mo040,41,5,10
P,26,Mo040,62,4,10
P,26,Mo040,61,5,15
P,26,Mo040,47,7,20
P,26,Mo040,70,6,20
P,26,Mo040,68,.,.
P,27,Mo043,53,2,15
P,27,Mo043,38,3,15
P,27,Mo043,37,5,15
P,27,Mo043,34,4,10
P,27,Mo043,24,5,15
P,27,Mo043,37,5,20
P,27,Mo043,36,5,15
P,27,Mo043,40,4,15
P,27,Mo043,39,4,20
P,27,Mo043,46,4,15
P,27,Mo043,53,4,20
P,27,Mo043,28,4,15
P,27,Mo043,51,5,20
P,27,Mo043,55,.,.
P,28,Mo044,49,3,10
P,28,Mo044,60,4,15
P,28,Mo044,62,3,15
P,28,Mo044,63,3,17
P,28,Mo044,55,3,18
P,28,Mo044,67,3,15
P,28,Mo044,61,1,15
P,28,Mo044,53,2,25
P,28,Mo044,43,2,8
P,28,Mo044,61,4,15
P,28,Mo044,64,3,10
P,28,Mo044,63,1,6
P,28,Mo044,50,4,25
P,28,Mo044,57,3,20
P,29,Mo045,56,3,5
P,29,Mo045,57,2,5
P,29,Mo045,64,1,10
P,29,Mo045,68,3,5
P,29,Mo045,60,2,7
P,29,Mo045,60,2,5
P,29,Mo045,61,.,.
P,29,Mo045,56,.,.
P,29,Mo045,60,.,.
P,30,Mo046,30,3,30
P,30,Mo046,60,4,10
P,30,Mo046,70,5,15
P,30,Mo046,67,3,10
P,30,Mo046,64,2,25
P,30,Mo046,59,3,20
P,30,Mo046,58,3,30
P,30,Mo046,55,3,35
P,30,Mo046,45,2,30
P,30,Mo046,55,4,10
P,30,Mo046,58,4,40
P,30,Mo046,57,3,40
P,30,Mo046,53,.,.
P,30,Mo046,40,.,.
P,30,Mo046,57,.,.
P,30,Mo046,67,.,.
P,30,Mo046,63,.,.
P,31,Mo048,44,8,10
P,31,Mo048,43,8,10
P,31,Mo048,49,5,10
P,31,Mo048,54,7,15
P,31,Mo048,52,7,10
P,31,Mo048,56,7,10
P,31,Mo048,52,7,10
P,31,Mo048,55,5,10
P,31,Mo048,52,7,10
P,31,Mo048,46,7,15
P,31,Mo048,48,.,.
P,31,Mo048,50,.,.
P,31,Mo048,48,.,.
P,32,Mo051,68,6,10
P,32,Mo051,73,4,5
P,32,Mo051,65,4,12
P,32,Mo051,78,4,5
P,32,Mo051,68,5,10
P,32,Mo051,61,5,10
P,32,Mo051,74,4,5
P,32,Mo051,77,5,10
P,32,Mo051,63,3,12
P,32,Mo051,68,3,7
P,32,Mo051,74,4,15
P,32,Mo051,79,6,15
P,32,Mo051,72,.,.
P,32,Mo051,75,.,.
P,32,Mo051,77,.,.
P,33,Mo052,58,5,10
P,33,Mo052,61,3,5
P,33,Mo052,62,3,5
P,33,Mo052,57,4,10
P,33,Mo052,49,6,5
P,33,Mo052,64,3,5
P,33,Mo052,66,3,5
P,33,Mo052,63,5,10
P,33,Mo052,55,4,5
P,33,Mo052,59,.,.
P,33,Mo052,63,.,.
P,33,Mo052,59,.,.
P,33,Mo052,59,.,.
P,33,Mo052,61,.,.
P,34,Mo054,69,4,25
P,34,Mo054,73,3,10
P,34,Mo054,55,3,25
P,34,Mo054,48,3,20
P,34,Mo054,65,2,10
P,34,Mo054,71,3,12
P,34,Mo054,73,3,25
P,34,Mo054,83,3,12
P,34,Mo054,42,3,15
P,34,Mo054,71,2,10
P,34,Mo054,69,3,20
P,34,Mo054,62,3,12
P,34,Mo054,78,.,.
P,34,Mo054,69,.,.
P,34,Mo054,73,.,.
P,35,Mo055,66,4,10
P,35,Mo055,32,4,20
P,35,Mo055,67,2,15
P,35,Mo055,53,5,15
P,35,Mo055,68,4,17
P,35,Mo055,64,4,10
P,35,Mo055,63,4,10
P,35,Mo055,62,3,10
P,35,Mo055,63,4,10
P,35,Mo055,62,3,10
P,35,Mo055,65,3,5
P,35,Mo055,65,5,10
P,35,Mo055,43,2,5
P,35,Mo055,67,5,10
P,35,Mo055,69,.,.
P,36,Mo057,28,3,20
P,36,Mo057,41,6,25
P,36,Mo057,33,3,20
P,36,Mo057,35,3,20
P,36,Mo057,34,4,25
P,36,Mo057,29,3,15
P,36,Mo057,41,4,20
P,36,Mo057,32,3,20
P,36,Mo057,44,4,20
P,36,Mo057,48,5,25
P,36,Mo057,19,.,.
P,36,Mo057,47,.,.
P,37,Mo058,68,4,5
P,37,Mo058,63,4,5
P,37,Mo058,57,2,10
P,37,Mo058,48,3,5
P,37,Mo058,53,3,10
P,37,Mo058,62,3,5
